sepal.length,sepal.width,petal.length,petal.width,variety,Country
5.1,3.5,1.4,0.2,Setosa,US
4.9,3,1.4,0.2,Setosa,SG
4.7,3.2,1.3,0.2,Setosa,HK
4.6,3.1,1.5,0.2,Setosa,NL
5,3.6,1.4,0.2,Setosa,US
5.4,3.9,1.7,0.4,Setosa,SG
4.6,3.4,1.4,0.3,Setosa,NL
5,3.4,1.5,0.2,Setosa,NL
4.4,2.9,1.4,0.2,Setosa,CN
4.9,3.1,1.5,0.1,Setosa,CN
5.4,3.7,1.5,0.2,Setosa,AU
4.8,3.4,1.6,0.2,Setosa,US
4.8,3,1.4,0.1,Setosa,CN
4.3,3,1.1,0.1,Setosa,HK
5.8,4,1.2,0.2,Setosa,NL
5.7,4.4,1.5,0.4,Setosa,SG
5.4,3.9,1.3,0.4,Setosa,CN
5.1,3.5,1.4,0.3,Setosa,US
5.7,3.8,1.7,0.3,Setosa,HK
5.1,3.8,1.5,0.3,Setosa,AU
5.4,3.4,1.7,0.2,Setosa,SG
5.1,3.7,1.5,0.4,Setosa,SG
4.6,3.6,1,0.2,Setosa,SG
5.1,3.3,1.7,0.5,Setosa,HK
4.8,3.4,1.9,0.2,Setosa,NL
5,3,1.6,0.2,Setosa,SG
5,3.4,1.6,0.4,Setosa,CN
5.2,3.5,1.5,0.2,Setosa,CN
5.2,3.4,1.4,0.2,Setosa,NL
4.7,3.2,1.6,0.2,Setosa,NL
4.8,3.1,1.6,0.2,Setosa,US
5.4,3.4,1.5,0.4,Setosa,AU
5.2,4.1,1.5,0.1,Setosa,NL
5.5,4.2,1.4,0.2,Setosa,NL
4.9,3.1,1.5,0.2,Setosa,AU
5,3.2,1.2,0.2,Setosa,AU
5.5,3.5,1.3,0.2,Setosa,SG
4.9,3.6,1.4,0.1,Setosa,US
4.4,3,1.3,0.2,Setosa,HK
5.1,3.4,1.5,0.2,Setosa,SG
5,3.5,1.3,0.3,Setosa,NL
4.5,2.3,1.3,0.3,Setosa,NL
4.4,3.2,1.3,0.2,Setosa,HK
5,3.5,1.6,0.6,Setosa,SG
